,reqid,date,open,high,low,close,volume
234,4106,20201216  09:30:00,16.1,16.1,11.95,11.95,-1
235,4106,20201216  09:35:00,11.95,11.95,11.2,11.3,-1
236,4106,20201216  09:40:00,11.3,11.3,10.95,10.95,-1
237,4106,20201216  09:45:00,10.95,11.25,10.95,11.25,-1
238,4106,20201216  09:50:00,11.25,11.7,11.25,11.7,-1
239,4106,20201216  09:55:00,11.7,11.8,11.65,11.7,-1
240,4106,20201216  10:00:00,11.7,11.8,11.45,11.8,-1
241,4106,20201216  10:05:00,11.8,12.0,11.7,12.0,-1
242,4106,20201216  10:10:00,12.0,12.1,11.8,11.8,-1
243,4106,20201216  10:15:00,11.8,11.8,11.15,11.15,-1
244,4106,20201216  10:20:00,11.15,11.2,10.85,11.0,-1
245,4106,20201216  10:25:00,11.0,11.7,11.0,11.7,-1
246,4106,20201216  10:30:00,11.7,12.15,11.7,12.1,-1
247,4106,20201216  10:35:00,12.1,12.4,12.1,12.3,-1
248,4106,20201216  10:40:00,12.3,12.4,12.25,12.4,-1
249,4106,20201216  10:45:00,12.4,12.4,12.3,12.3,-1
250,4106,20201216  10:50:00,12.3,12.35,12.25,12.35,-1
251,4106,20201216  10:55:00,12.35,12.35,12.2,12.2,-1
252,4106,20201216  11:00:00,12.2,12.55,12.2,12.55,-1
253,4106,20201216  11:05:00,12.55,12.6,12.55,12.55,-1
254,4106,20201216  11:10:00,12.55,12.6,12.5,12.6,-1
255,4106,20201216  11:15:00,12.6,12.6,12.05,12.15,-1
256,4106,20201216  11:20:00,12.15,12.25,12.0,12.25,-1
257,4106,20201216  11:25:00,12.25,12.45,12.2,12.4,-1
258,4106,20201216  11:30:00,12.4,12.8,12.4,12.8,-1
259,4106,20201216  11:35:00,12.8,12.9,12.75,12.85,-1
260,4106,20201216  11:40:00,12.85,12.95,12.85,12.85,-1
261,4106,20201216  11:45:00,12.85,13.05,12.85,13.05,-1
262,4106,20201216  11:50:00,13.05,13.25,13.0,13.2,-1
263,4106,20201216  11:55:00,13.2,13.25,13.1,13.25,-1
264,4106,20201216  12:00:00,13.25,13.25,13.05,13.1,-1
265,4106,20201216  12:05:00,13.1,13.4,13.1,13.35,-1
266,4106,20201216  12:10:00,13.35,13.35,13.35,13.35,-1
267,4106,20201216  12:15:00,13.35,13.4,13.3,13.3,-1
268,4106,20201216  12:20:00,13.3,13.3,13.1,13.1,-1
269,4106,20201216  12:25:00,13.1,13.1,13.0,13.0,-1
270,4106,20201216  12:30:00,13.0,13.0,12.9,12.9,-1
271,4106,20201216  12:35:00,12.9,13.0,12.85,12.9,-1
272,4106,20201216  12:40:00,12.9,13.05,12.75,13.0,-1
273,4106,20201216  12:45:00,13.0,13.05,12.8,13.0,-1
274,4106,20201216  12:50:00,13.0,13.0,12.9,12.9,-1
275,4106,20201216  12:55:00,12.9,13.0,12.9,13.0,-1
276,4106,20201216  13:00:00,13.0,13.0,12.95,12.95,-1
277,4106,20201216  13:05:00,12.95,12.95,12.85,12.85,-1
278,4106,20201216  13:10:00,12.85,12.9,12.75,12.9,-1
279,4106,20201216  13:15:00,12.9,12.9,12.75,12.75,-1
280,4106,20201216  13:20:00,12.75,12.85,12.75,12.85,-1
281,4106,20201216  13:25:00,12.85,12.85,12.75,12.75,-1
282,4106,20201216  13:30:00,12.75,12.95,12.7,12.95,-1
283,4106,20201216  13:35:00,12.95,13.05,12.95,13.05,-1
284,4106,20201216  13:40:00,13.05,13.1,13.05,13.1,-1
285,4106,20201216  13:45:00,13.1,13.2,13.1,13.2,-1
286,4106,20201216  13:50:00,13.2,13.2,13.1,13.1,-1
287,4106,20201216  13:55:00,13.1,13.7,13.1,13.65,-1
288,4106,20201216  14:00:00,13.65,13.9,12.55,13.1,-1
289,4106,20201216  14:05:00,13.1,13.1,12.75,12.75,-1
290,4106,20201216  14:10:00,12.75,12.75,12.6,12.6,-1
291,4106,20201216  14:15:00,12.6,12.6,12.15,12.15,-1
292,4106,20201216  14:20:00,12.15,12.4,12.1,12.4,-1
293,4106,20201216  14:25:00,12.4,12.4,12.3,12.3,-1
294,4106,20201216  14:30:00,12.3,12.9,12.3,12.9,-1
295,4106,20201216  14:35:00,12.9,13.75,12.9,13.75,-1
296,4106,20201216  14:40:00,13.75,13.75,13.7,13.75,-1
297,4106,20201216  14:45:00,13.75,13.9,13.75,13.9,-1
298,4106,20201216  14:50:00,13.9,14.0,13.9,14.0,-1
299,4106,20201216  14:55:00,14.0,14.1,14.0,14.1,-1
300,4106,20201216  15:00:00,14.1,14.15,14.05,14.15,-1
301,4106,20201216  15:05:00,14.15,14.15,13.95,13.95,-1
302,4106,20201216  15:10:00,13.95,14.0,13.9,13.9,-1
303,4106,20201216  15:15:00,13.9,14.1,13.7,14.1,-1
304,4106,20201216  15:20:00,14.1,14.4,14.1,14.4,-1
305,4106,20201216  15:25:00,14.4,14.5,14.4,14.5,-1
306,4106,20201216  15:30:00,14.5,14.8,14.5,14.8,-1
307,4106,20201216  15:35:00,14.8,14.8,14.7,14.75,-1
308,4106,20201216  15:40:00,14.75,14.85,14.75,14.75,-1
309,4106,20201216  15:45:00,14.75,14.9,14.7,14.9,-1
310,4106,20201216  15:50:00,14.9,14.9,13.75,14.45,-1
311,4106,20201216  15:55:00,14.45,14.55,13.9,13.9,-1
312,4104,20201216  09:30:00,11.825,11.975,10.675,11.5,-1
313,4104,20201216  09:35:00,11.5,11.625,10.825,10.825,-1
314,4104,20201216  09:40:00,10.825,10.825,10.65,10.65,-1
315,4104,20201216  09:45:00,10.65,10.9,10.65,10.9,-1
316,4104,20201216  09:50:00,10.9,11.45,10.9,11.45,-1
317,4104,20201216  09:55:00,11.45,11.65,11.425,11.425,-1
318,4104,20201216  10:00:00,11.425,11.7,11.25,11.65,-1
319,4104,20201216  10:05:00,11.65,11.8,11.6,11.75,-1
320,4104,20201216  10:10:00,11.75,11.925,11.5,11.525,-1
321,4104,20201216  10:15:00,11.525,11.525,10.975,10.975,-1
322,4104,20201216  10:20:00,10.975,11.025,10.575,10.7,-1
323,4104,20201216  10:25:00,10.7,11.6,10.7,11.525,-1
324,4104,20201216  10:30:00,11.525,11.8,11.525,11.8,-1
325,4104,20201216  10:35:00,11.8,12.125,11.8,12.075,-1
326,4104,20201216  10:40:00,12.075,12.2,12.075,12.175,-1
327,4104,20201216  10:45:00,12.175,12.25,12.075,12.075,-1
328,4104,20201216  10:50:00,12.075,12.15,12.075,12.125,-1
329,4104,20201216  10:55:00,12.125,12.125,11.95,11.95,-1
330,4104,20201216  11:00:00,11.95,12.225,11.95,12.225,-1
331,4104,20201216  11:05:00,12.225,12.525,12.225,12.4,-1
332,4104,20201216  11:10:00,12.4,12.425,12.325,12.425,-1
333,4104,20201216  11:15:00,12.425,12.45,11.825,11.9,-1
334,4104,20201216  11:20:00,11.9,12.1,11.825,12.1,-1
335,4104,20201216  11:25:00,12.1,12.25,12.075,12.25,-1
336,4104,20201216  11:30:00,12.25,12.5,12.25,12.5,-1
337,4104,20201216  11:35:00,12.5,12.8,12.5,12.725,-1
338,4104,20201216  11:40:00,12.725,12.775,12.7,12.7,-1
339,4104,20201216  11:45:00,12.7,12.85,12.7,12.85,-1
340,4104,20201216  11:50:00,12.85,13.125,12.85,13.075,-1
341,4104,20201216  11:55:00,13.075,13.1,12.975,13.075,-1
342,4104,20201216  12:00:00,13.075,13.075,12.875,12.9,-1
343,4104,20201216  12:05:00,12.9,13.125,12.9,13.125,-1
344,4104,20201216  12:10:00,13.125,13.15,13.1,13.1,-1
345,4104,20201216  12:15:00,13.1,13.275,13.1,13.125,-1
346,4104,20201216  12:20:00,13.125,13.125,12.9,12.9,-1
347,4104,20201216  12:25:00,12.9,12.9,12.8,12.85,-1
348,4104,20201216  12:30:00,12.85,12.85,12.675,12.675,-1
349,4104,20201216  12:35:00,12.675,12.85,12.675,12.725,-1
350,4104,20201216  12:40:00,12.725,12.875,12.575,12.825,-1
351,4104,20201216  12:45:00,12.825,12.925,12.65,12.75,-1
352,4104,20201216  12:50:00,12.75,12.75,12.575,12.65,-1
353,4104,20201216  12:55:00,12.65,12.85,12.65,12.85,-1
354,4104,20201216  13:00:00,12.85,12.85,12.7,12.7,-1
355,4104,20201216  13:05:00,12.7,12.7,12.475,12.475,-1
356,4104,20201216  13:10:00,12.475,12.725,12.45,12.725,-1
357,4104,20201216  13:15:00,12.725,12.725,12.575,12.6,-1
358,4104,20201216  13:20:00,12.6,12.7,12.6,12.675,-1
359,4104,20201216  13:25:00,12.675,12.675,12.5,12.5,-1
360,4104,20201216  13:30:00,12.5,12.8,12.5,12.8,-1
361,4104,20201216  13:35:00,12.8,12.925,12.8,12.925,-1
362,4104,20201216  13:40:00,12.925,13.025,12.925,13.0,-1
363,4104,20201216  13:45:00,13.0,13.05,12.925,13.0,-1
364,4104,20201216  13:50:00,13.0,13.0,12.925,12.95,-1
365,4104,20201216  13:55:00,12.95,12.975,12.675,12.875,-1
366,4104,20201216  14:00:00,12.875,12.925,12.175,12.475,-1
367,4104,20201216  14:05:00,12.475,12.5,12.15,12.15,-1
368,4104,20201216  14:10:00,12.15,12.15,12.025,12.025,-1
369,4104,20201216  14:15:00,12.025,12.05,11.825,11.825,-1
370,4104,20201216  14:20:00,11.825,12.125,11.825,12.125,-1
371,4104,20201216  14:25:00,12.125,12.175,12.1,12.125,-1
372,4104,20201216  14:30:00,12.125,12.6,12.125,12.6,-1
373,4104,20201216  14:35:00,12.6,13.425,12.6,13.425,-1
374,4104,20201216  14:40:00,13.425,13.5,13.425,13.5,-1
375,4104,20201216  14:45:00,13.5,13.625,13.5,13.625,-1
376,4104,20201216  14:50:00,13.625,13.9,13.625,13.825,-1
377,4104,20201216  14:55:00,13.825,13.925,13.825,13.925,-1
378,4104,20201216  15:00:00,13.925,14.05,13.85,14.05,-1
379,4104,20201216  15:05:00,14.05,14.075,13.725,13.75,-1
380,4104,20201216  15:10:00,13.75,13.8,13.675,13.725,-1
381,4104,20201216  15:15:00,13.725,13.925,13.6,13.925,-1
382,4104,20201216  15:20:00,13.925,14.225,13.925,14.15,-1
383,4104,20201216  15:25:00,14.15,14.425,14.15,14.325,-1
384,4104,20201216  15:30:00,14.325,14.675,14.325,14.625,-1
385,4104,20201216  15:35:00,14.625,14.625,14.45,14.45,-1
386,4104,20201216  15:40:00,14.45,14.55,14.45,14.525,-1
387,4104,20201216  15:45:00,14.525,14.525,14.325,14.325,-1
388,4104,20201216  15:50:00,14.325,14.35,13.65,14.15,-1
389,4104,20201216  15:55:00,14.15,14.2,13.525,13.55,-1
390,4105,20201216  09:30:00,7.55,11.45,7.55,11.05,-1
391,4105,20201216  09:35:00,11.05,11.3,10.35,10.35,-1
392,4105,20201216  09:40:00,10.35,10.45,10.25,10.35,-1
393,4105,20201216  09:45:00,10.35,10.55,10.35,10.55,-1
394,4105,20201216  09:50:00,10.55,11.2,10.55,11.2,-1
395,4105,20201216  09:55:00,11.2,11.5,11.15,11.15,-1
396,4105,20201216  10:00:00,11.15,11.6,11.05,11.5,-1
397,4105,20201216  10:05:00,11.5,11.7,11.45,11.5,-1
398,4105,20201216  10:10:00,11.5,11.75,11.2,11.25,-1
399,4105,20201216  10:15:00,11.25,11.25,10.6,10.8,-1
400,4105,20201216  10:20:00,10.8,10.85,10.3,10.4,-1
401,4105,20201216  10:25:00,10.4,11.55,10.4,11.35,-1
402,4105,20201216  10:30:00,11.35,11.5,11.35,11.5,-1
403,4105,20201216  10:35:00,11.5,11.85,11.5,11.85,-1
404,4105,20201216  10:40:00,11.85,12.1,11.85,11.95,-1
405,4105,20201216  10:45:00,11.95,12.1,11.8,11.85,-1
406,4105,20201216  10:50:00,11.85,11.95,11.85,11.9,-1
407,4105,20201216  10:55:00,11.9,11.9,11.7,11.7,-1
408,4105,20201216  11:00:00,11.7,11.9,11.7,11.9,-1
409,4105,20201216  11:05:00,11.9,12.45,11.9,12.25,-1
410,4105,20201216  11:10:00,12.25,12.25,12.15,12.25,-1
411,4105,20201216  11:15:00,12.25,12.3,11.6,11.65,-1
412,4105,20201216  11:20:00,11.65,11.95,11.65,11.95,-1
413,4105,20201216  11:25:00,11.95,12.1,11.9,12.1,-1
414,4105,20201216  11:30:00,12.1,12.3,12.1,12.2,-1
415,4105,20201216  11:35:00,12.2,12.7,12.2,12.6,-1
416,4105,20201216  11:40:00,12.6,12.6,12.5,12.55,-1
417,4105,20201216  11:45:00,12.55,12.65,12.55,12.65,-1
418,4105,20201216  11:50:00,12.65,13.0,12.65,12.95,-1
419,4105,20201216  11:55:00,12.95,13.0,12.85,12.9,-1
420,4105,20201216  12:00:00,12.9,12.9,12.7,12.7,-1
421,4105,20201216  12:05:00,12.7,12.9,12.7,12.9,-1
422,4105,20201216  12:10:00,12.9,12.95,12.85,12.85,-1
423,4105,20201216  12:15:00,12.85,13.2,12.85,12.95,-1
424,4105,20201216  12:20:00,12.95,12.95,12.7,12.7,-1
425,4105,20201216  12:25:00,12.7,12.75,12.55,12.7,-1
426,4105,20201216  12:30:00,12.7,12.7,12.4,12.45,-1
427,4105,20201216  12:35:00,12.45,12.7,12.45,12.55,-1
428,4105,20201216  12:40:00,12.55,12.7,12.4,12.65,-1
429,4105,20201216  12:45:00,12.65,12.8,12.5,12.5,-1
430,4105,20201216  12:50:00,12.5,12.5,12.15,12.4,-1
431,4105,20201216  12:55:00,12.4,12.7,12.4,12.7,-1
432,4105,20201216  13:00:00,12.7,12.7,12.45,12.45,-1
433,4105,20201216  13:05:00,12.45,12.45,12.1,12.1,-1
434,4105,20201216  13:10:00,12.1,12.55,12.1,12.55,-1
435,4105,20201216  13:15:00,12.55,12.55,12.35,12.45,-1
436,4105,20201216  13:20:00,12.45,12.55,12.45,12.5,-1
437,4105,20201216  13:25:00,12.5,12.55,12.25,12.25,-1
438,4105,20201216  13:30:00,12.25,12.65,12.25,12.65,-1
439,4105,20201216  13:35:00,12.65,12.8,12.65,12.8,-1
440,4105,20201216  13:40:00,12.8,12.95,12.8,12.9,-1
441,4105,20201216  13:45:00,12.9,12.95,12.75,12.8,-1
442,4105,20201216  13:50:00,12.8,12.8,12.75,12.8,-1
443,4105,20201216  13:55:00,12.8,12.85,11.75,12.1,-1
444,4105,20201216  14:00:00,12.1,12.1,10.6,11.85,-1
445,4105,20201216  14:05:00,11.85,12.0,11.5,11.55,-1
446,4105,20201216  14:10:00,11.55,11.55,11.35,11.45,-1
447,4105,20201216  14:15:00,11.45,11.6,11.45,11.5,-1
448,4105,20201216  14:20:00,11.5,11.85,11.5,11.85,-1
449,4105,20201216  14:25:00,11.85,12.0,11.85,11.95,-1
450,4105,20201216  14:30:00,11.95,12.3,11.95,12.3,-1
451,4105,20201216  14:35:00,12.3,13.1,12.3,13.1,-1
452,4105,20201216  14:40:00,13.1,13.25,13.1,13.25,-1
453,4105,20201216  14:45:00,13.25,13.35,13.25,13.35,-1
454,4105,20201216  14:50:00,13.35,13.8,13.35,13.65,-1
455,4105,20201216  14:55:00,13.65,13.75,13.65,13.75,-1
456,4105,20201216  15:00:00,13.75,13.95,13.6,13.95,-1
457,4105,20201216  15:05:00,13.95,14.0,13.5,13.55,-1
458,4105,20201216  15:10:00,13.55,13.6,13.4,13.55,-1
459,4105,20201216  15:15:00,13.55,13.8,13.5,13.75,-1
460,4105,20201216  15:20:00,13.75,14.2,13.75,13.9,-1
461,4105,20201216  15:25:00,13.9,14.35,13.9,14.15,-1
462,4105,20201216  15:30:00,14.15,14.6,14.15,14.45,-1
463,4105,20201216  15:35:00,14.45,14.45,14.15,14.15,-1
464,4105,20201216  15:40:00,14.15,14.3,14.15,14.3,-1
465,4105,20201216  15:45:00,14.3,14.3,13.75,13.75,-1
466,4105,20201216  15:50:00,13.75,14.0,13.2,13.85,-1
467,4105,20201216  15:55:00,13.85,13.95,13.15,13.2,-1
